ID	region	location	collection_date	dataset	genus	species	sub_species	Site	blast_note	ID+species
OR028836.1	Europe and Middle east	Albania		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028836.1
OR028829.1	Europe and Middle east	Albania		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028829.1
OR028828.1	Europe and Middle east	Albania		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028828.1
KU531277.1	Africa	Algeria: Djanet		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531277.1
KU531278.1	Africa	Algeria: Djanet		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531278.1
KU531263.1	Africa	"Algeria: Oran, Mines de Sig"		blast	Rhinolophus	Rhinolophus blasii				Rhinolophus blasii: KU531263.1
DQ054807.1	Australasia	"Australia: Queensland, Iron Range"		blast	Hipposideros	Hipposideros ater				Hipposideros ater: DQ054807.1
JN106274.1	East and south east asia	Borneo		blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: JN106274.1
JN106280.1	East and south east asia	Borneo		blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: JN106280.1
KU531361.1	Africa	Botswana: Lobatse		blast	Rhinolophus	Rhinolophus simulator				Rhinolophus simulator: KU531361.1
KU531275.1	Africa	Botswana: Lobatse		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531275.1
KU531276.1	Africa	Botswana: Lobatse		blast	Rhinolophus	Rhinolophus clivosus				Rhinolophus clivosus: KU531276.1
OR028846.1	Europe and Middle east	Bulgaria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028846.1
OR028781.1	Europe and Middle east	Bulgaria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028781.1
OR028780.1	Europe and Middle east	Bulgaria		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: OR028780.1
KC978424.1	Europe and Middle east	Bulgaria: Muselievo		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978424.1
KC978433.1	Europe and Middle east	Bulgaria: Muselievo		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978433.1
KC978425.1	Europe and Middle east	Bulgaria: Muselievo		blast	Rhinolophus	Rhinolophus hipposideros				Rhinolophus hipposideros: KC978425.1
KU531306.1	Europe and Middle east	"Bulgaria: Ruse District, Gabarnika"		blast	Rhinolophus	Rhinolophus ferrumequinum				Rhinolophus ferrumequinum: KU531306.1
JN106269.1	East and south east asia	Cambodia: Preah Vihear Province		blast	Rhinolophus	Rhinolophus shameli				Rhinolophus shameli: JN106269.1
PP942866.1	Africa	Cameroon		blast	Hipposideros	Hipposideros fuliginosus				Hipposideros fuliginosus: PP942866.1
PP942867.1	Africa	Cameroon		blast	Hipposideros	Hipposideros fuliginosus				Hipposideros fuliginosus: PP942867.1
PP942865.1	Africa	Cameroon		blast	Hipposideros	Hipposideros fuliginosus				Hipposideros fuliginosus: PP942865.1
PP942862.1	Africa	Cameroon		blast	Hipposideros	Hipposideros ruber				Hipposideros ruber: PP942862.1
PP942864.1	Africa	Cameroon		blast	Hipposideros	Hipposideros fuliginosus				Hipposideros fuliginosus: PP942864.1
PP942894.1	Africa	Cameroon		blast	Rhinolophus	Rhinolophus landeri				Rhinolophus landeri: PP942894.1
PP942892.1	Africa	Cameroon		blast	Rhinolophus	Rhinolophus landeri				Rhinolophus landeri: PP942892.1
MZ460933.1	Africa	Cameroon		blast	Rhinolophus	Rhinolophus sp.	Nditam11			Rhinolophus sp.: MZ460933.1
PP942890.1	Africa	Cameroon		blast	Rhinolophus	Rhinolophus landeri				Rhinolophus landeri: PP942890.1
FJ347988.1	Africa	Cameroon: Dikome Balue		blast	Hipposideros	Hipposideros ruber				Hipposideros ruber: FJ347988.1
FJ347990.1	Africa	Cameroon: Kribi		blast	Hipposideros	Hipposideros ruber				Hipposideros ruber: FJ347990.1
FJ347991.1	Africa	Cameroon: Kribi		blast	Hipposideros	Hipposideros ruber				Hipposideros ruber: FJ347991.1
FJ347994.1	Africa	Cameroon: Mindourou		blast	Hipposideros	Hipposideros ruber				Hipposideros ruber: FJ347994.1
MN025559.1	Africa	Central African Republic		blast	Rhinolophus	Rhinolophus alcyone				Rhinolophus alcyone: MN025559.1
MN025558.1	Africa	Central African Republic		blast	Rhinolophus	Rhinolophus alcyone				Rhinolophus alcyone: MN025558.1
KU531313.1	Africa	Central African Republic: Bangaran		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531313.1
KU531310.1	Africa	Central African Republic: Bangaran		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531310.1
KU531312.1	Africa	Central African Republic: Bangaran		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531312.1
KU531314.1	Africa	Central African Republic: Bangaran		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531314.1
KU531309.1	Africa	Central African Republic: Bangaran		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531309.1
KU531311.1	Africa	Central African Republic: Bangaran		blast	Rhinolophus	Rhinolophus fumigatus				Rhinolophus fumigatus: KU531311.1
KU531262.1	Africa	Central African Republic: Sangha-Mbare		blast	Rhinolophus	Rhinolophus alcyone				Rhinolophus alcyone: KU531262.1
KX467584.1	East and south east asia	China		blast	Hipposideros	Hipposideros cineraceus				Hipposideros cineraceus: KX467584.1
KJ623705.1	East and south east asia	China		blast	Hipposideros	Hipposideros pomona				Hipposideros pomona: KJ623705.1
MN077652.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus osgoodi				Rhinolophus osgoodi: MN077652.1
MG560888.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus siamensis				Rhinolophus siamensis: MG560888.1
ON640704.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus pearsonii				Rhinolophus pearsonii: ON640704.1
LC426454.1	East and south east asia	China	2016	blast	Rhinolophus	Rhinolophus sinicus				Rhinolophus sinicus: LC426454.1
LC426445.1	East and south east asia	China	2016	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: LC426445.1
ON640711.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus sinicus				Rhinolophus sinicus: ON640711.1
MK987183.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus siamensis				Rhinolophus siamensis: MK987183.1
LC426453.1	East and south east asia	China	2016	blast	Rhinolophus	Rhinolophus sinicus				Rhinolophus sinicus: LC426453.1
MN077584.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus macrotis	episcopus			Rhinolophus macrotis: MN077584.1
MK987176.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus cf.	macrotis sensu Tu et al. 2017			Rhinolophus cf.: MK987176.1
KF294339.1	East and south east asia	China	2012	blast	Rhinolophus	Rhinolophus sinicus				Rhinolophus sinicus: KF294339.1
LC426451.1	East and south east asia	China	2016	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: LC426451.1
NC_081978.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus francisi				Rhinolophus francisi: NC_081978.1
ON012497.1	East and south east asia	China	2020	blast	Rhinolophus	Rhinolophus pearsonii				Rhinolophus pearsonii: ON012497.1
KF294309.1	East and south east asia	China	2012	blast	Rhinolophus	Rhinolophus monoceros				Rhinolophus monoceros: KF294309.1
MN077637.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus macrotis	episcopus			Rhinolophus macrotis: MN077637.1
MK987182.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus pusillus				Rhinolophus pusillus: MK987182.1
MG560902.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus macrotis				Rhinolophus macrotis: MG560902.1
LC426446.1	East and south east asia	China	2016	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: LC426446.1
KX467580.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus marshalli				Rhinolophus marshalli: KX467580.1
LC426437.1	East and south east asia	China	2016	blast	Rhinolophus	Rhinolophus affinis				Rhinolophus affinis: LC426437.1
ON012499.1	East and south east asia	China	2020	blast	Rhinolophus	Rhinolophus sinicus				Rhinolophus sinicus: ON012499.1
MG560929.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus rex				Rhinolophus rex: MG560929.1
MG560907.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus rex				Rhinolophus rex: MG560907.1
LC426457.1	East and south east asia	China	2016	blast	Rhinolophus	Rhinolophus pearsonii				Rhinolophus pearsonii: LC426457.1
OR799559.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus macrotis				Rhinolophus macrotis: OR799559.1
MG560932.1	East and south east asia	China		blast	Rhinolophus	Rhinolophus macrotis				Rhinolophus macrotis: MG560932.1
